Original Array
14123	22946	25321	26237	26940	13695	7268	26905	4476	29888	24031	12593	29917	29662	20479	19104	7776	17958	23533	20670	30601	15456	10085	18985	17681	16047	5898	29126	23514	32184	19197	4354	
8744	16134	18861	20318	12557	18605	19697	6954	10789	12334	25940	3984	5508	4251	26543	31701	23533	27644	22782	28636	12612	15344	19564	29164	838	30104	26544	16818	16504	1200	412	19594	
2909	511	3827	14074	11756	10482	20860	8063	24897	20612	32084	32397	15763	27488	18568	18385	26214	21322	6371	12473	18178	25531	17413	16438	29475	10187	5557	3009	32754	8020	4217	17820	
26932	24405	7267	90	22210	4500	6189	19361	22073	6024	137	3631	23794	21621	8626	16667	9781	25305	1863	28765	16809	14599	7769	9361	26127	274	15811	6648	23600	10220	2233	26816	
5652	26575	24484	645	18037	20956	21293	10519	3187	6915	19864	17022	1930	12322	26196	11835	26560	21873	5072	32721	20003	21789	12176	17028	4466	307	127	10849	15131	3264	16263	22142	
20581	55	19039	2179	15343	19730	30884	30057	27481	17596	18220	4994	30017	30383	19863	2490	23409	14809	12838	9244	15702	25925	4049	29080	3765	31735	659	28419	9881	20504	19977	25439	
14992	24915	21051	20829	6678	31358	17082	8736	15954	21117	21483	27972	512	13411	21154	543	5551	29403	23026	5702	1068	10951	6980	15699	23358	6438	27815	3558	19603	2107	4455	6122	
23291	6124	28897	4122	26580	25960	12181	21699	13509	22028	24189	12235	11696	2440	13470	31218	3809	14141	1756	856	15244	31466	29202	25920	22646	21640	27490	8467	32498	24434	10954	12456	
7183	1225	9208	27586	20496	11543	352	26330	25116	13618	21899	12063	7223	10852	30386	1980	9073	4552	14475	3161	8285	16119	30819	23780	19397	32228	12141	13969	13212	5125	32602	7711	
19508	23732	27945	32606	8626	1236	15937	26094	15806	10679	11197	13129	5503	24383	24583	30211	5062	24900	29352	18001	5001	29750	22110	19401	24212	14596	28015	20584	1147	30780	14398	1241	
